exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
base_0.5,cifar10,0.5,auto,99,4,38.70060348510742,completed
base_0.5,cifar10,0.5,auto,99,10,20.788236618041992,completed
base_0.5,cifar10,0.5,auto,99,20,17.54552459716797,completed
base_0.5,cifar10,0.5,auto,99,50,15.713574409484863,completed
base_0.5,cifar10,0.5,auto,99,100,15.393946647644043,completed
base_0.5,cifar10,0.5,auto,199,4,35.80767822265625,completed
base_0.5,cifar10,0.5,auto,199,10,17.8317813873291,completed
base_0.5,cifar10,0.5,auto,199,20,13.843903541564941,completed
base_0.5,cifar10,0.5,auto,199,50,11.335264205932617,completed
base_0.5,cifar10,0.5,auto,199,100,10.687588691711426,completed
base_0.5,cifar10,0.5,auto,299,4,27.79575538635254,completed
base_0.5,cifar10,0.5,auto,299,10,13.273785591125488,completed
base_0.5,cifar10,0.5,auto,299,20,10.932480812072754,completed
base_0.5,cifar10,0.5,auto,299,50,9.819915771484375,completed
base_0.5,cifar10,0.5,auto,299,100,9.537140846252441,completed
base_0.5,cifar10,0.5,auto,399,4,27.413557052612305,completed
base_0.5,cifar10,0.5,auto,399,10,13.234830856323242,completed
base_0.5,cifar10,0.5,auto,399,20,10.109236717224121,completed
base_0.5,cifar10,0.5,auto,399,50,8.489080429077148,completed
base_0.5,cifar10,0.5,auto,399,100,8.353811264038086,completed
base_0.5,cifar10,0.5,auto,499,4,28.59463882446289,completed
base_0.5,cifar10,0.5,auto,499,10,12.42930793762207,completed
base_0.5,cifar10,0.5,auto,499,20,9.768654823303223,completed
base_0.5,cifar10,0.5,auto,499,50,8.092602729797363,completed
base_0.5,cifar10,0.5,auto,499,100,7.7664794921875,completed
fteqm_0.30,cifar10,0.3,auto,99,4,121.37427520751953,completed
fteqm_0.30,cifar10,0.3,auto,99,10,44.015357971191406,completed
fteqm_0.30,cifar10,0.3,auto,99,20,21.24005889892578,completed
fteqm_0.30,cifar10,0.3,auto,99,50,14.858933448791504,completed
fteqm_0.30,cifar10,0.3,auto,99,100,14.946491241455078,completed
fteqm_0.30,cifar10,0.3,auto,199,4,112.90019226074219,completed
fteqm_0.30,cifar10,0.3,auto,199,10,41.888275146484375,completed
fteqm_0.30,cifar10,0.3,auto,199,20,21.607540130615234,completed
fteqm_0.30,cifar10,0.3,auto,199,50,11.29350757598877,completed
fteqm_0.30,cifar10,0.3,auto,199,100,10.27613639831543,completed
fteqm_0.30,cifar10,0.3,auto,299,4,101.69027709960938,completed
fteqm_0.30,cifar10,0.3,auto,299,10,25.926982879638672,completed
fteqm_0.30,cifar10,0.3,auto,299,20,10.093464851379395,completed
fteqm_0.30,cifar10,0.3,auto,299,50,10.731047630310059,completed
fteqm_0.30,cifar10,0.3,auto,299,100,10.376618385314941,completed
fteqm_0.30,cifar10,0.3,auto,399,4,107.19498443603516,completed
fteqm_0.30,cifar10,0.3,auto,399,10,30.642061233520508,completed
fteqm_0.30,cifar10,0.3,auto,399,20,12.659542083740234,completed
fteqm_0.30,cifar10,0.3,auto,399,50,9.867420196533203,completed
fteqm_0.30,cifar10,0.3,auto,399,100,10.210988998413086,completed
fteqm_0.30,cifar10,0.3,auto,499,4,118.18659973144531,completed
fteqm_0.30,cifar10,0.3,auto,499,10,36.596126556396484,completed
fteqm_0.30,cifar10,0.3,auto,499,20,15.67829704284668,completed
fteqm_0.30,cifar10,0.3,auto,499,50,7.402090072631836,completed
fteqm_0.30,cifar10,0.3,auto,499,100,7.6559648513793945,completed
fteqm_0.40,cifar10,0.4,auto,99,4,70.41801452636719,completed
fteqm_0.40,cifar10,0.4,auto,99,10,20.130693435668945,completed
fteqm_0.40,cifar10,0.4,auto,99,20,17.95061683654785,completed
fteqm_0.40,cifar10,0.4,auto,99,50,17.463947296142578,completed
fteqm_0.40,cifar10,0.4,auto,99,100,16.94629669189453,completed
fteqm_0.40,cifar10,0.4,auto,199,4,77.86112213134766,completed
fteqm_0.40,cifar10,0.4,auto,199,10,20.340234756469727,completed
fteqm_0.40,cifar10,0.4,auto,199,20,11.49928092956543,completed
fteqm_0.40,cifar10,0.4,auto,199,50,9.578543663024902,completed
fteqm_0.40,cifar10,0.4,auto,199,100,9.687870025634766,completed
fteqm_0.40,cifar10,0.4,auto,299,4,65.92048645019531,completed
fteqm_0.40,cifar10,0.4,auto,299,10,13.834312438964844,completed
fteqm_0.40,cifar10,0.4,auto,299,20,8.306591033935547,completed
fteqm_0.40,cifar10,0.4,auto,299,50,8.198497772216797,completed
fteqm_0.40,cifar10,0.4,auto,299,100,8.325347900390625,completed
fteqm_0.40,cifar10,0.4,auto,399,4,52.559120178222656,completed
fteqm_0.40,cifar10,0.4,auto,399,10,12.15302562713623,completed
fteqm_0.40,cifar10,0.4,auto,399,20,10.209999084472656,completed
fteqm_0.40,cifar10,0.4,auto,399,50,10.262392044067383,completed
fteqm_0.40,cifar10,0.4,auto,399,100,9.703285217285156,completed
fteqm_0.40,cifar10,0.4,auto,499,4,57.132591247558594,completed
fteqm_0.40,cifar10,0.4,auto,499,10,9.7196626663208,completed
fteqm_0.40,cifar10,0.4,auto,499,20,6.830921649932861,completed
fteqm_0.40,cifar10,0.4,auto,499,50,7.411067962646484,completed
fteqm_0.40,cifar10,0.4,auto,499,100,7.595968723297119,completed
fteqm_0.45,cifar10,0.45,auto,99,4,43.97023391723633,completed
fteqm_0.45,cifar10,0.45,auto,99,10,17.044628143310547,completed
fteqm_0.45,cifar10,0.45,auto,99,20,15.774554252624512,completed
fteqm_0.45,cifar10,0.45,auto,99,50,14.654434204101562,completed
fteqm_0.45,cifar10,0.45,auto,99,100,14.51456069946289,completed
fteqm_0.45,cifar10,0.45,auto,199,4,32.702735900878906,completed
fteqm_0.45,cifar10,0.45,auto,199,10,14.644510269165039,completed
fteqm_0.45,cifar10,0.45,auto,199,20,12.915379524230957,completed
fteqm_0.45,cifar10,0.45,auto,199,50,10.85992431640625,completed
fteqm_0.45,cifar10,0.45,auto,199,100,10.201998710632324,completed
fteqm_0.45,cifar10,0.45,auto,299,4,33.378196716308594,completed
fteqm_0.45,cifar10,0.45,auto,299,10,9.42539119720459,completed
fteqm_0.45,cifar10,0.45,auto,299,20,8.754384994506836,completed
fteqm_0.45,cifar10,0.45,auto,299,50,8.70445442199707,completed
fteqm_0.45,cifar10,0.45,auto,299,100,8.61052417755127,completed
fteqm_0.45,cifar10,0.45,auto,399,4,26.044599533081055,completed
fteqm_0.45,cifar10,0.45,auto,399,10,13.34035873413086,completed
fteqm_0.45,cifar10,0.45,auto,399,20,12.32433795928955,completed
fteqm_0.45,cifar10,0.45,auto,399,50,10.138823509216309,completed
fteqm_0.45,cifar10,0.45,auto,399,100,9.143624305725098,completed
fteqm_0.45,cifar10,0.45,auto,499,4,29.8397216796875,completed
fteqm_0.45,cifar10,0.45,auto,499,10,9.556502342224121,completed
fteqm_0.45,cifar10,0.45,auto,499,20,8.932613372802734,completed
fteqm_0.45,cifar10,0.45,auto,499,50,8.032524108886719,completed
fteqm_0.45,cifar10,0.45,auto,499,100,7.809081554412842,completed
fteqm_0.48,cifar10,0.48,auto,99,4,39.70220184326172,completed
fteqm_0.48,cifar10,0.48,auto,99,10,19.067852020263672,completed
fteqm_0.48,cifar10,0.48,auto,99,20,16.808874130249023,completed
fteqm_0.48,cifar10,0.48,auto,99,50,15.898906707763672,completed
fteqm_0.48,cifar10,0.48,auto,99,100,15.913519859313965,completed
fteqm_0.48,cifar10,0.48,auto,199,4,35.776859283447266,completed
fteqm_0.48,cifar10,0.48,auto,199,10,17.32286262512207,completed
fteqm_0.48,cifar10,0.48,auto,199,20,13.791834831237793,completed
fteqm_0.48,cifar10,0.48,auto,199,50,11.514460563659668,completed
fteqm_0.48,cifar10,0.48,auto,199,100,11.030048370361328,completed
fteqm_0.48,cifar10,0.48,auto,299,4,27.40123176574707,completed
fteqm_0.48,cifar10,0.48,auto,299,10,12.86104679107666,completed
fteqm_0.48,cifar10,0.48,auto,299,20,11.094087600708008,completed
fteqm_0.48,cifar10,0.48,auto,299,50,10.122989654541016,completed
fteqm_0.48,cifar10,0.48,auto,299,100,9.934528350830078,completed
fteqm_0.48,cifar10,0.48,auto,399,4,27.780284881591797,completed
fteqm_0.48,cifar10,0.48,auto,399,10,16.487852096557617,completed
fteqm_0.48,cifar10,0.48,auto,399,50,10.464456558227539,completed
fteqm_0.48,cifar10,0.48,auto,399,100,9.689042091369629,completed
fteqm_0.48,cifar10,0.48,auto,499,4,28.759565353393555,completed
fteqm_0.48,cifar10,0.48,auto,499,10,11.341858863830566,completed
fteqm_0.48,cifar10,0.48,auto,499,20,9.519468307495117,completed
fteqm_0.48,cifar10,0.48,auto,499,50,8.53212833404541,completed
fteqm_0.48,cifar10,0.48,auto,499,100,8.463278770446777,completed
fteqm_0.52,cifar10,0.52,auto,99,4,40.535518646240234,completed
fteqm_0.52,cifar10,0.52,auto,99,10,20.246112823486328,completed
fteqm_0.52,cifar10,0.52,auto,99,20,17.112733840942383,completed
fteqm_0.52,cifar10,0.52,auto,99,50,16.110733032226562,completed
fteqm_0.52,cifar10,0.52,auto,99,100,16.04238510131836,completed
fteqm_0.52,cifar10,0.52,auto,199,4,35.36308288574219,completed
fteqm_0.52,cifar10,0.52,auto,199,10,15.973027229309082,completed
fteqm_0.52,cifar10,0.52,auto,199,20,11.950900077819824,completed
fteqm_0.52,cifar10,0.52,auto,199,50,10.173004150390625,completed
fteqm_0.52,cifar10,0.52,auto,199,100,9.868917465209961,completed
