exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
base_0.5,cifar10,0.5,auto,99,4,38.7138786315918,completed
base_0.5,cifar10,0.5,auto,99,10,19.388896942138672,completed
base_0.5,cifar10,0.5,auto,99,20,16.424484252929688,completed
base_0.5,cifar10,0.5,auto,99,50,14.978912353515625,completed
base_0.5,cifar10,0.5,auto,99,100,14.809711456298828,completed
base_0.5,cifar10,0.5,auto,199,4,33.317726135253906,completed
base_0.5,cifar10,0.5,auto,199,10,16.324729919433594,completed
base_0.5,cifar10,0.5,auto,199,20,12.671442031860352,completed
base_0.5,cifar10,0.5,auto,199,50,10.3638916015625,completed
base_0.5,cifar10,0.5,auto,199,100,9.80145263671875,completed
base_0.5,cifar10,0.5,auto,299,4,28.841588973999023,completed
base_0.5,cifar10,0.5,auto,299,10,14.320499420166016,completed
base_0.5,cifar10,0.5,auto,299,20,11.929888725280762,completed
base_0.5,cifar10,0.5,auto,299,50,10.558999061584473,completed
base_0.5,cifar10,0.5,auto,299,100,10.1478853225708,completed
base_0.5,cifar10,0.5,auto,399,4,27.717512130737305,completed
base_0.5,cifar10,0.5,auto,399,10,15.370444297790527,completed
base_0.5,cifar10,0.5,auto,399,20,12.225656509399414,completed
base_0.5,cifar10,0.5,auto,399,50,9.85243034362793,completed
base_0.5,cifar10,0.5,auto,399,100,9.198866844177246,completed
base_0.5,cifar10,0.5,auto,499,4,29.5500545501709,completed
base_0.5,cifar10,0.5,auto,499,10,12.18714714050293,completed
base_0.5,cifar10,0.5,auto,499,20,9.453821182250977,completed
base_0.5,cifar10,0.5,auto,499,50,7.7177324295043945,completed
base_0.5,cifar10,0.5,auto,499,100,7.398448467254639,completed
base_0.5,cifar10,0.5,auto,599,4,24.151386260986328,completed
base_0.5,cifar10,0.5,auto,599,10,13.754810333251953,completed
base_0.5,cifar10,0.5,auto,599,20,10.972444534301758,completed
base_0.5,cifar10,0.5,auto,599,50,8.607857704162598,completed
base_0.5,cifar10,0.5,auto,599,100,7.820698261260986,completed
base_0.5,cifar10,0.5,auto,699,4,28.914966583251953,completed
base_0.5,cifar10,0.5,auto,699,10,11.559704780578613,completed
base_0.5,cifar10,0.5,auto,699,20,8.145048141479492,completed
base_0.5,cifar10,0.5,auto,699,50,5.717766284942627,completed
base_0.5,cifar10,0.5,auto,699,100,5.147519588470459,completed
base_0.5,cifar10,0.5,auto,799,4,29.459619522094727,completed
base_0.5,cifar10,0.5,auto,799,10,12.268266677856445,completed
base_0.5,cifar10,0.5,auto,799,20,9.199013710021973,completed
base_0.5,cifar10,0.5,auto,799,50,6.805480480194092,completed
base_0.5,cifar10,0.5,auto,799,100,6.248290538787842,completed
base_0.5,cifar10,0.5,auto,899,4,32.13605499267578,completed
