run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
cifar100_linear_uniform:ep499:nfe10:fid,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,fid,92.73995971679688,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe10:precision,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,precision,0.33649998903274536,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe10:recall,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,recall,0.28279998898506165,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe20:fid,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,fid,44.993656158447266,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe20:precision,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,precision,0.39249998331069946,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe20:recall,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,recall,0.5209000110626221,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe50:fid,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,fid,15.79393482208252,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe50:precision,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,precision,0.5871999859809875,completed,ft_clock_cifar100_transfer
cifar100_linear_uniform:ep499:nfe50:recall,cifar100_linear_uniform,cifar100,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,recall,0.6390999555587769,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe10:fid,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,fid,25.439001083374023,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe10:precision,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,precision,0.5733000040054321,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe10:recall,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,recall,0.6234999895095825,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe20:fid,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,fid,17.139263153076172,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe20:precision,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,precision,0.6108999848365784,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe20:recall,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,recall,0.6762999892234802,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe50:fid,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,fid,15.770661354064941,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe50:precision,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,precision,0.6018999814987183,completed,ft_clock_cifar100_transfer
cifar100_linear_ft_best:ep499:nfe50:recall,cifar100_linear_ft_best,cifar100,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,recall,0.6746000051498413,completed,ft_clock_cifar100_transfer
