run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
linear_uniform:ep499:nfe10:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,fid,87.04502868652344,completed,ft_clock_cross_path
linear_uniform:ep499:nfe10:is_mean,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,is_mean,6.3374247550964355,completed,ft_clock_cross_path
linear_uniform:ep499:nfe10:is_std,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,is_std,0.061405375599861145,completed,ft_clock_cross_path
linear_uniform:ep499:nfe20:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,fid,37.825279235839844,completed,ft_clock_cross_path
linear_uniform:ep499:nfe20:is_mean,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,is_mean,8.88822078704834,completed,ft_clock_cross_path
linear_uniform:ep499:nfe20:is_std,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,is_std,0.11916349828243256,completed,ft_clock_cross_path
linear_uniform:ep499:nfe50:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,fid,11.592138290405273,completed,ft_clock_cross_path
linear_uniform:ep499:nfe50:is_mean,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,is_mean,9.254382133483887,completed,ft_clock_cross_path
linear_uniform:ep499:nfe50:is_std,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,is_std,0.11523431539535522,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe10:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,fid,10.668192863464355,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe10:is_mean,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,is_mean,8.676745414733887,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe10:is_std,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,is_std,0.15529772639274597,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe20:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,fid,7.629271030426025,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe20:is_mean,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,is_mean,8.650476455688477,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe20:is_std,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,is_std,0.0777502954006195,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe50:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,fid,6.778679370880127,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe50:is_mean,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,is_mean,8.900103569030762,completed,ft_clock_cross_path
linear_ft_best:ep499:nfe50:is_std,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,is_std,0.08364206552505493,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe10:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,fid,73.79203796386719,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe10:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,is_mean,6.607281684875488,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe10:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,is_std,0.09446191042661667,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe20:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,fid,50.412071228027344,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe20:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,is_mean,8.966954231262207,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe20:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,is_std,0.1280508041381836,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe50:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,fid,20.534330368041992,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe50:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,is_mean,9.802363395690918,completed,ft_clock_cross_path
trig_vp_uniform:ep499:nfe50:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,is_std,0.11861369013786316,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe10:fid,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,fid,19.526479721069336,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe10:is_mean,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,is_mean,8.493705749511719,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe10:is_std,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,is_std,0.1512487381696701,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe20:fid,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,fid,8.072905540466309,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe20:is_mean,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,is_mean,8.702371597290039,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe20:is_std,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,is_std,0.12981016933918,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe50:fid,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,fid,6.71183967590332,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe50:is_mean,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,is_mean,9.002467155456543,completed,ft_clock_cross_path
trig_vp_ft_best:ep499:nfe50:is_std,trig_vp_ft_best,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,is_std,0.08696208149194717,completed,ft_clock_cross_path
