run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
linear_uniform:ep499:nfe10:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,fid,75.30623626708984,completed,ft_clock_schedule_family
linear_uniform:ep499:nfe20:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,fid,29.991758346557617,completed,ft_clock_schedule_family
linear_uniform:ep499:nfe50:fid,linear_uniform,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,fid,9.326361656188965,completed,ft_clock_schedule_family
linear_poly_a0_5:ep499:nfe10:fid,linear_poly_a0_5,cifar10,0,eval,499,linear,poly_a0.5,a,0.5,heun2,10,5,12500,12500,fid,44.77178192138672,completed,ft_clock_schedule_family
linear_poly_a0_5:ep499:nfe20:fid,linear_poly_a0_5,cifar10,0,eval,499,linear,poly_a0.5,a,0.5,heun2,20,10,12500,12500,fid,37.45400619506836,completed,ft_clock_schedule_family
linear_poly_a0_5:ep499:nfe50:fid,linear_poly_a0_5,cifar10,0,eval,499,linear,poly_a0.5,a,0.5,heun2,50,25,12500,12500,fid,58.067928314208984,completed,ft_clock_schedule_family
linear_poly_a2_0:ep499:nfe10:fid,linear_poly_a2_0,cifar10,0,eval,499,linear,poly_a2.0,a,2.0,heun2,10,5,12500,12500,fid,86.95943450927734,completed,ft_clock_schedule_family
linear_poly_a2_0:ep499:nfe20:fid,linear_poly_a2_0,cifar10,0,eval,499,linear,poly_a2.0,a,2.0,heun2,20,10,12500,12500,fid,17.87873649597168,completed,ft_clock_schedule_family
linear_poly_a2_0:ep499:nfe50:fid,linear_poly_a2_0,cifar10,0,eval,499,linear,poly_a2.0,a,2.0,heun2,50,25,12500,12500,fid,10.583502769470215,completed,ft_clock_schedule_family
linear_cosine:ep499:nfe10:fid,linear_cosine,cifar10,0,eval,499,linear,cosine,none,,heun2,10,5,12500,12500,fid,89.30203247070312,completed,ft_clock_schedule_family
linear_cosine:ep499:nfe20:fid,linear_cosine,cifar10,0,eval,499,linear,cosine,none,,heun2,20,10,12500,12500,fid,72.76029205322266,completed,ft_clock_schedule_family
linear_cosine:ep499:nfe50:fid,linear_cosine,cifar10,0,eval,499,linear,cosine,none,,heun2,50,25,12500,12500,fid,28.715450286865234,completed,ft_clock_schedule_family
linear_sigmoid_k8:ep499:nfe10:fid,linear_sigmoid_k8,cifar10,0,eval,499,linear,sigmoid_k8,k,8.0,heun2,10,5,12500,12500,fid,105.9751968383789,completed,ft_clock_schedule_family
linear_sigmoid_k8:ep499:nfe20:fid,linear_sigmoid_k8,cifar10,0,eval,499,linear,sigmoid_k8,k,8.0,heun2,20,10,12500,12500,fid,19.272727966308594,completed,ft_clock_schedule_family
linear_sigmoid_k8:ep499:nfe50:fid,linear_sigmoid_k8,cifar10,0,eval,499,linear,sigmoid_k8,k,8.0,heun2,50,25,12500,12500,fid,9.364062309265137,completed,ft_clock_schedule_family
linear_exp_l3:ep499:nfe10:fid,linear_exp_l3,cifar10,0,eval,499,linear,exp_l3,lambda,3.0,heun2,10,5,12500,12500,fid,30.87694549560547,completed,ft_clock_schedule_family
linear_exp_l3:ep499:nfe20:fid,linear_exp_l3,cifar10,0,eval,499,linear,exp_l3,lambda,3.0,heun2,20,10,12500,12500,fid,9.715785026550293,completed,ft_clock_schedule_family
linear_exp_l3:ep499:nfe50:fid,linear_exp_l3,cifar10,0,eval,499,linear,exp_l3,lambda,3.0,heun2,50,25,12500,12500,fid,17.748624801635742,completed,ft_clock_schedule_family
linear_ft_best:ep499:nfe10:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,fid,10.379829406738281,completed,ft_clock_schedule_family
linear_ft_best:ep499:nfe20:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,fid,6.392134189605713,completed,ft_clock_schedule_family
linear_ft_best:ep499:nfe50:fid,linear_ft_best,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,fid,7.171894550323486,completed,ft_clock_schedule_family
