run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group,strategy_id,model_output_type,time_sampling_strategy,mixed_lambda,stratified_bins,solver_aware_clock_mode,solver_aware_target_solver,solver_aware_monitor_solver,solver_aware_k,solver_aware_monitor_estimator,solver_aware_eps,solver_aware_use_nodes,node_family,monitor_source_checkpoint,monitor_grid_size,solver_aware_monitor_batch_size,solver_aware_theorem_backed
linear_uniform_euler_solver_aware:ep499:nfe6:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,6,6,12500,12500,fid,37.50374984741211,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe12:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,12,12,12500,12500,fid,15.583418846130371,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe18:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,18,18,12500,12500,fid,11.265007972717285,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe24:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,24,24,12500,12500,fid,9.599348068237305,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe30:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,30,30,12500,12500,fid,8.770257949829102,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe48:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,48,48,12500,12500,fid,7.7204718589782715,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe96:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,96,96,12500,12500,fid,7.097390651702881,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe6:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,6,3,12500,12500,fid,110.23388671875,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe12:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,12,6,12500,12500,fid,20.471275329589844,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe18:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,18,9,12500,12500,fid,10.789743423461914,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
