run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
linear_uniform_euler:ep499:nfe4:fid,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,4,4,12500,12500,fid,58.28889083862305,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe4:is_mean,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,4,4,12500,12500,is_mean,5.86074161529541,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe4:is_std,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,4,4,12500,12500,is_std,0.07034387439489365,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe10:fid,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,10,10,12500,12500,fid,17.719255447387695,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe10:is_mean,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,10,10,12500,12500,is_mean,7.858165264129639,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe10:is_std,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,10,10,12500,12500,is_std,0.1294175684452057,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe20:fid,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,20,20,12500,12500,fid,11.20606517791748,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe20:is_mean,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,20,20,12500,12500,is_mean,8.238443374633789,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe20:is_std,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,20,20,12500,12500,is_std,0.14065158367156982,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe50:fid,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,50,50,12500,12500,fid,8.045539855957031,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe50:is_mean,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,50,50,12500,12500,is_mean,8.465468406677246,completed,ft_clock_solver_sensitivity
linear_uniform_euler:ep499:nfe50:is_std,linear_uniform_euler,cifar10,0,eval,499,linear,uniform,none,,euler,50,50,12500,12500,is_std,0.14310532808303833,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe4:fid,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,4,2,12500,12500,fid,289.4203796386719,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe4:is_mean,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,4,2,12500,12500,is_mean,1.8915481567382812,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe4:is_std,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,4,2,12500,12500,is_std,0.01122785359621048,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe10:fid,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,fid,87.04412841796875,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe10:is_mean,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,is_mean,6.336610317230225,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe10:is_std,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,10,5,12500,12500,is_std,0.06149808317422867,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe20:fid,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,fid,37.82488250732422,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe20:is_mean,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,is_mean,8.88774585723877,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe20:is_std,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,20,10,12500,12500,is_std,0.11914914846420288,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe50:fid,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,fid,11.591896057128906,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe50:is_mean,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,is_mean,9.253605842590332,completed,ft_clock_solver_sensitivity
linear_uniform_heun2:ep499:nfe50:is_std,linear_uniform_heun2,cifar10,0,eval,499,linear,uniform,none,,heun2,50,25,12500,12500,is_std,0.11512009054422379,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe4:fid,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,4,4,12500,12500,fid,207.2067413330078,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe4:is_mean,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,4,4,12500,12500,is_mean,2.4214062690734863,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe4:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,4,4,12500,12500,is_std,0.017291447147727013,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:fid,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,fid,99.35520935058594,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:is_mean,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,is_mean,5.992181777954102,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,is_std,0.08375517278909683,completed,ft_clock_solver_sensitivity
