run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
trig_vp_uniform:ep499:nfe10:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,fid,73.78705596923828,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe10:precision,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,precision,0.42170000076293945,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe10:recall,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,recall,0.3569999933242798,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe10:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,is_mean,6.606196880340576,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe10:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,10,5,12500,12500,is_std,0.09512703865766525,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe20:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,fid,50.41554641723633,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe20:precision,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,precision,0.35420000553131104,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe20:recall,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,recall,0.5109999775886536,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe20:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,is_mean,8.96813678741455,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe20:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,20,10,12500,12500,is_std,0.1287793517112732,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe50:fid,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,fid,20.538436889648438,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe50:precision,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,precision,0.5300999879837036,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe50:recall,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,recall,0.6194999814033508,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe50:is_mean,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,is_mean,9.802602767944336,completed,ft_clock_trig_vp
trig_vp_uniform:ep499:nfe50:is_std,trig_vp_uniform,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,50,25,12500,12500,is_std,0.1213247999548912,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe10:fid,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,fid,19.52511215209961,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe10:precision,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,precision,0.6225999593734741,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe10:recall,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,recall,0.5845000147819519,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe10:is_mean,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,is_mean,8.494073867797852,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe10:is_std,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,10,5,12500,12500,is_std,0.1519484519958496,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe20:fid,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,fid,8.071566581726074,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe20:precision,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,precision,0.6663999557495117,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe20:recall,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,recall,0.6692999601364136,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe20:is_mean,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,is_mean,8.702540397644043,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe20:is_std,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,20,10,12500,12500,is_std,0.13020718097686768,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe50:fid,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,fid,6.712068557739258,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe50:precision,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,precision,0.6624000072479248,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe50:recall,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,recall,0.6868999600410461,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe50:is_mean,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,is_mean,9.0029296875,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_3:ep499:nfe50:is_std,trig_vp_ft_beta_0_3,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.3,heun2,50,25,12500,12500,is_std,0.08655194938182831,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe10:fid,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,10,5,12500,12500,fid,106.5514907836914,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe10:precision,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,10,5,12500,12500,precision,0.20789998769760132,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe10:recall,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,10,5,12500,12500,recall,0.3425999879837036,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe10:is_mean,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,10,5,12500,12500,is_mean,6.045662879943848,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe10:is_std,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,10,5,12500,12500,is_std,0.06728354841470718,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe20:fid,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,20,10,12500,12500,fid,76.13813018798828,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe20:precision,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,20,10,12500,12500,precision,0.2126999944448471,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe20:recall,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,20,10,12500,12500,recall,0.46059998869895935,completed,ft_clock_trig_vp
trig_vp_ft_beta_0_5:ep499:nfe20:is_mean,trig_vp_ft_beta_0_5,cifar10,0,eval,499,trig_vp,ft_vp_beta,beta,0.5,heun2,20,10,12500,12500,is_mean,8.156267166137695,completed,ft_clock_trig_vp
