run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group,strategy_id,model_output_type,time_sampling_strategy,mixed_lambda,stratified_bins
linear_ft_beta_0_3_strategy_A_euler:ep499:nfe4:fid,linear_ft_beta_0_3_strategy_A_euler,cifar10,0,eval,499,linear,ft_beta,beta,0.3,euler,4,4,12500,12500,fid,206.58538818359375,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_euler:ep499:nfe8:fid,linear_ft_beta_0_3_strategy_A_euler,cifar10,0,eval,499,linear,ft_beta,beta,0.3,euler,8,8,12500,12500,fid,115.42350769042969,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_euler:ep499:nfe16:fid,linear_ft_beta_0_3_strategy_A_euler,cifar10,0,eval,499,linear,ft_beta,beta,0.3,euler,16,16,12500,12500,fid,62.088829040527344,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_euler:ep499:nfe32:fid,linear_ft_beta_0_3_strategy_A_euler,cifar10,0,eval,499,linear,ft_beta,beta,0.3,euler,32,32,12500,12500,fid,29.57868766784668,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_euler:ep499:nfe100:fid,linear_ft_beta_0_3_strategy_A_euler,cifar10,0,eval,499,linear,ft_beta,beta,0.3,euler,100,100,12500,12500,fid,6.947024822235107,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_heun2:ep499:nfe4:fid,linear_ft_beta_0_3_strategy_A_heun2,cifar10,0,eval,499,linear,ft_beta,beta,0.3,heun2,4,2,12500,12500,fid,180.20855712890625,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_heun2:ep499:nfe8:fid,linear_ft_beta_0_3_strategy_A_heun2,cifar10,0,eval,499,linear,ft_beta,beta,0.3,heun2,8,4,12500,12500,fid,15.602807998657227,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_heun2:ep499:nfe16:fid,linear_ft_beta_0_3_strategy_A_heun2,cifar10,0,eval,499,linear,ft_beta,beta,0.3,heun2,16,8,12500,12500,fid,6.873931407928467,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_heun2:ep499:nfe32:fid,linear_ft_beta_0_3_strategy_A_heun2,cifar10,0,eval,499,linear,ft_beta,beta,0.3,heun2,32,16,12500,12500,fid,7.397774696350098,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
linear_ft_beta_0_3_strategy_A_heun2:ep499:nfe100:fid,linear_ft_beta_0_3_strategy_A_heun2,cifar10,0,eval,499,linear,ft_beta,beta,0.3,heun2,100,50,12500,12500,fid,8.954672813415527,completed,ft_clock_variance_reduction_ablation,A,velocity,uniform,0.5,16
