method,checkpoint,snapshot_ratio,state_index,time_value,nfe_budget,actual_nfe,step_count,path_family,clock_family,clock_beta,sampling_solver
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.0,0,0.0,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.08,0,0.0,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.17,1,0.1666666716337204,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.33,2,0.3333333432674408,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.5,3,0.5,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.75,4,0.6666666269302368,12,12,6,linear,ft_linear_beta,0.4,heun2
Heun2,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,1.0,6,1.0,12,12,6,linear,ft_linear_beta,0.4,heun2
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.0,0,0.0,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.08,0,0.0,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.17,1,0.25,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.33,1,0.25,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.5,2,0.5,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.75,3,0.75,12,12,4,linear,ft_linear_beta,0.4,rk3
RK3,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,1.0,4,1.0,12,12,4,linear,ft_linear_beta,0.4,rk3
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.0,0,0.0,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.08,1,0.0833333358168602,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.17,2,0.1666666716337204,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.33,4,0.3333333432674408,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.5,6,0.5,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,0.75,9,0.75,12,12,12,linear,ft_linear_beta,0.4,stork4
STORK-4,/home/gwx/flow_matching/experiments/results/ft_clock_linear_main/cifar10/linear_ft_beta_0_4/checkpoint-499.pth,1.0,12,1.0,12,12,12,linear,ft_linear_beta,0.4,stork4
